player_name,estimated_value,predicted_value
Aaron Wan-Bissaka,26.9,35.818775323369124
Aaron Ramsdale,18.7,25.18373042235541
Abdoulaye Doucouré,5.8,7.514631897546893
Adam Armstrong,15.1,21.887787822107256
Adam Smith,1.5,2.896924314574313
Adam Wharton,48.9,33.55505061704548
Adama Traoré,8.0,20.41018560606061
Alejandro Garnacho,60.7,62.64641526251522
Alex Iwobi,30.3,34.43199563492064
Alex Palmer,1.6,18.9927498001998
Alexander Isak,120.3,134.289692063492
Alexis Mac Allister,106.1,91.6852473057644
Alisson,24.1,18.11148132934317
Alphonse Areola,11.8,13.087864669891516
Amad Diallo,48.5,48.92635549450549
Amadou Onana,62.1,51.7349261602433
Andreas Pereira,19.0,18.390922539682546
Andrew Robertson,24.0,20.21756451326451
André Onana,34.2,28.669317171132956
André,29.8,31.14775217425532
Anthony Elanga,45.5,51.6399651034151
Anthony Gordon,49.5,53.950965427111015
Antoine Semenyo,47.7,60.61766364468863
Antonee Robinson,46.4,53.41783262322472
Archie Gray,58.2,38.51817857142858
Arijanet Muric,10.1,18.173889261044064
Ashley Young,1.3,2.866236038961038
Axel Tuanzebe,4.2,11.584124908424908
Bart Verbruggen,30.7,32.95536603586472
Ben Davies,5.6,6.060599423040729
Ben Johnson,12.6,18.11655711613683
Ben White,58.8,43.81226672552595
Bernardo Silva,50.0,39.75154295051354
Bernd Leno,13.7,14.37657454057638
Beto,24.4,36.374112773632994
Bilal El Khannouss,40.6,40.78254748065944
Boubacar Kamara,46.3,34.34847273124785
Boubakary Soumaré,15.4,22.651524180279836
Brennan Johnson,71.3,56.50455800065949
Bruno Guimarães,83.2,72.32214417282066
Bruno Fernandes,54.8,43.365053664799255
Bryan Mbeumo,57.2,61.77692448287005
Bukayo Saka,101.3,63.06424205424205
Caleb Okoli,16.7,22.69902444879428
Callum Hudson-Odoi,30.2,41.18250407647907
Calvin Bassey,29.9,50.26484708916903
Cameron Burgess,1.7,11.686448268084575
Cameron Archer,18.6,26.23549837623813
Carlos Soler,23.4,21.527687027300754
Carlos Baleba,52.4,51.79801529581531
Casemiro,11.6,9.358578195255038
Chris Richards,15.7,18.46136154330705
Chris Wood,7.8,8.697761111111106
Christian Eriksen,4.2,5.9453858946608955
Christian Nørgaard,14.4,15.09487029506345
Christopher Nkunku,51.7,52.20727417299475
Cody Gakpo,67.5,58.732169824619824
Cole Palmer,115.4,90.42242994505494
Conor Coady,2.2,4.528457519388823
Craig Dawson,1.5,2.9323161255411248
Cristian Romero,60.1,41.32238872996796
Curtis Jones,61.7,52.347682572617444
Daichi Kamada,14.6,15.982512600886274
Dan Burn,9.1,13.557022193362203
Dango Ouattara,28.5,37.626037991964466
Daniel Muñoz,30.9,31.436346449792044
Danny Welbeck,6.0,7.232195382395381
Dara O'Shea,19.5,23.03260708599472
Darwin Núñez,60.9,52.72493370836677
David Raya,28.9,27.920529653095443
Dean Huijsen,55.0,52.721926731601755
Dean Henderson,22.7,23.039466310018476
Declan Rice,107.8,92.21948062770562
Dejan Kulusevski,60.5,56.57195471375031
Destiny Udogie,59.4,49.71880740138774
Diogo Dalot,37.4,42.28751409495018
Diogo Jota,58.6,39.073719802365396
Djed Spence,19.8,37.038331610106965
Dominic Calvert-Lewin,17.8,41.33622950937951
Dominic Solanke,52.1,47.76074426431006
Dominik Szoboszlai,71.4,66.41987985810486
Dwight McNeil,27.0,33.71566081418891
Eberechi Eze,62.2,44.83486748436749
Ederson,19.1,18.29746999068183
Edson Álvarez,36.5,29.83757032594529
