Feature,Importance
Age,0.29103487385227816
Att 3rd,0.09844565727825833
xG,0.08415071300751233
Gls,0.07748925311350806
Gls/90,0.0721584809667108
PrgDist,0.06546068603545167
Att Pen,0.04118946578037365
Cmp,0.03681681420002457
CPA,0.023464942846408304
Min,0.020808132208295714
Recov,0.01943871371895569
Ast/90,0.01770018411129918
Won%,0.016708736786727085
MP,0.015716652972141292
Succ%,0.015640223626635103
Touches,0.014963314158377468
Blocks,0.014654829490378956
Tkl,0.014451921668265567
Pos_MF,0.014139188857997632
xAG,0.013819801850876614
Ast,0.010856424005930567
Int,0.00884188497470561
Starts,0.00872133593672531
"Pos_MF,FW",0.002392828622503953
"Pos_MF,DF",0.0006832990290020029
"Pos_DF,MF",0.00017367843956819922
Pos_FW,4.3191098634877176e-05
"Pos_FW,MF",2.0889596375342074e-05
"Pos_FW,DF",1.1804535979691737e-05
"Pos_DF,FW",2.0772300981516124e-06
Pos_GK,0.0
