Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-126,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-005,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-085,1999,19.0,75,46,24,44,7,35,66,53.0,31,33,10,23,32,107,38,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-228,1997,13.7,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,62,0,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-129,2002,10.6,23,14,10,8,5,10,22,45.5,12,12,0,12,8,31,6,1,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-327,1997,12.7,27,18,18,9,0,11,17,64.7,6,16,12,4,9,36,77,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-224,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-214,1996,30.4,54,41,39,14,1,35,63,55.6,28,32,12,20,31,85,103,3,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-338,2001,31.8,82,52,50,25,7,41,67,61.2,26,40,6,34,24,106,67,1,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-023,1998,15.6,25,17,14,10,1,14,26,53.8,12,17,4,13,12,37,49,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-295,1995,19.4,16,11,9,4,3,8,13,61.5,5,11,8,3,7,23,57,3,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-081,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-161,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-161,2002,6.4,11,5,5,3,3,3,9,33.3,6,6,1,5,4,15,7,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-215,1998,25.5,70,49,43,18,9,48,103,46.6,55,26,9,17,30,100,54,4,Matches
16,Alisson,br BRA,GK,Liverpool,32-220,1992,24.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-089,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-198,1997,18.1,44,23,24,12,8,15,33,45.5,18,21,8,13,16,60,39,1,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-096,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-055,2007,2.8,6,2,5,1,0,2,6,33.3,4,6,1,5,2,8,10,0,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-296,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-112,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-344,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-344,1996,25.7,25,17,18,6,1,13,20,65.0,7,33,26,7,30,55,162,1,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-185,2002,27.4,84,52,50,27,7,43,100,43.0,57,44,9,35,30,114,67,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,André,br BRA,MF,Wolves,23-298,2001,25.0,80,48,36,37,7,32,57,56.1,25,41,8,33,32,112,27,1,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-043,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-075,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-270,2001,4.7,8,3,4,4,0,5,12,41.7,7,3,0,3,6,14,16,0,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-293,2001,15.3,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,9,0,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,23.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,2,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-293,1996,21.2,44,30,15,23,6,17,34,50.0,17,24,9,15,20,64,29,3,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-089,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-111,2007,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28.0,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,14,3,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-109,1996,6.0,7,5,0,7,0,3,9,33.3,6,2,0,2,1,8,3,0,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-122,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-271,1997,4.5,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-216,2003,19.5,54,29,15,29,10,21,51,41.2,30,23,6,17,20,74,24,0,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-241,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-241,1991,15.8,24,13,7,12,5,6,19,31.6,13,16,0,16,12,36,17,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-045,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-274,1997,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-127,2004,26.7,71,41,24,32,15,44,72,61.1,28,44,10,34,40,111,41,1,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-156,1993,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-152,1997,16.7,16,9,4,6,6,3,10,30.0,7,7,1,6,6,22,12,1,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-130,1999,32.2,52,33,34,18,0,21,30,70.0,9,37,17,20,18,70,105,8,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-028,1996,27.1,35,18,22,13,0,15,30,50.0,15,44,33,11,54,89,177,5,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-150,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-317,1998,17.2,37,22,17,17,3,13,19,68.4,6,19,3,16,10,47,17,1,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-319,1997,16.9,38,20,17,17,4,19,39,48.7,20,24,8,16,36,74,33,1,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,23.2,48,28,22,22,4,25,37,67.6,12,26,8,18,20,68,34,1,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,26.4,85,50,54,26,5,47,87,54.0,40,37,14,23,40,125,72,3,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,14.1,14,6,2,8,4,5,8,62.5,3,8,1,7,3,17,19,1,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,14.4,47,29,19,25,3,18,33,54.5,15,9,6,3,16,63,35,4,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,2.6,6,4,3,3,0,2,3,66.7,1,2,1,1,4,10,16,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,30.2,37,24,13,10,14,17,37,45.9,20,21,3,18,16,53,23,0,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-305,2003,6.3,11,8,5,4,2,8,17,47.1,9,4,0,4,3,14,21,0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-317,2002,26.1,36,20,26,10,0,20,27,74.1,7,30,22,8,23,59,183,4,Matches
67,James Bree,eng ENG,DF,Southampton,27-211,1997,9.9,15,10,5,9,1,7,17,41.2,10,8,3,5,8,23,24,0,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-022,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-035,1998,6.7,7,3,2,5,0,3,9,33.3,6,6,1,5,4,11,5,0,Matches
70,Armando Broja,al ALB,FW,Everton,23-242,2001,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-306,1997,9.2,11,4,2,6,3,1,14,7.1,13,16,2,14,5,16,8,1,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-136,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Matches
