Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-126,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-005,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-085,1999,19.0,37,1.95,32,0,0,1,0,4,4,0.21,3,0,0,0,0,1,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-228,1997,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-129,2002,10.6,39,3.68,27,0,6,6,0,0,7,0.66,5,0,1,1,0,0,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-327,1997,12.7,15,1.18,14,1,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-224,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-214,1996,30.4,58,1.91,46,5,3,1,2,1,3,0.10,2,0,0,0,0,1,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-338,2001,31.8,78,2.45,47,13,7,7,3,1,12,0.38,10,1,0,0,0,1,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-023,1998,15.6,18,1.15,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-295,1995,19.4,34,1.75,34,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-081,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-161,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-161,2002,6.4,26,4.03,21,1,3,0,1,0,4,0.62,4,0,0,0,0,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-215,1998,25.5,94,3.68,72,14,4,4,0,0,10,0.39,9,1,0,0,0,0,Matches
16,Alisson,br BRA,GK,Liverpool,32-220,1992,24.9,6,0.24,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-089,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-198,1997,18.1,25,1.38,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-096,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-055,2007,2.8,6,2.11,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
