Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alisson,br BRA,GK,Liverpool,32-220,1992,25,25,2238,24.9,23,0.92,77,56,71.4,18,5,2,9,36.0,1,1,0,0,0.0,Matches
2,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,24,23,2080,23.1,39,1.69,105,69,62.9,4,7,12,4,17.4,0,0,0,0,,Matches
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28,28,2520,28.0,35,1.25,126,91,75.4,12,7,9,7,25.0,4,4,0,0,0.0,Matches
4,Brandon Austin,eng ENG,GK,Tottenham,26-122,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
5,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2,2,180,2.0,8,4.00,12,5,33.3,0,0,2,0,0.0,0,0,0,0,,Matches
6,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
7,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-115,1989,10,10,900,10.0,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches
8,Ederson,br BRA,GK,Manchester City,31-266,1993,23,23,2050,22.8,25,1.10,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0.0,Matches
9,Łukasz Fabiański,pl POL,GK,West Ham,40-022,1985,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches
10,Mark Flekken,nl NED,GK,Brentford,31-331,1993,34,34,3005,33.4,51,1.53,186,137,73.1,15,7,12,6,17.6,1,1,0,0,0.0,Matches
11,Fraser Forster,eng ENG,GK,Tottenham,37-054,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches
12,Dean Henderson,eng ENG,GK,Crystal Palace,28-059,1997,35,35,3150,35.0,48,1.37,143,97,67.1,11,13,11,10,28.6,2,1,1,0,50.0,Matches
13,Mads Hermansen,dk DEN,GK,Leicester City,24-303,2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches
14,Vitezslav Jaros,cz CZE,GK,Liverpool,23-291,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
15,Sam Johnstone,eng ENG,GK,Wolves,32-046,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches
16,Filip Jørgensen,dk DEN,GK,Chelsea,23-024,2002,6,6,540,6.0,9,1.50,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches
17,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-168,1998,10,10,900,10.0,12,1.20,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches
18,Antonín Kinský,cz CZE,GK,Tottenham,22-058,2003,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches
19,Bernd Leno,de GER,GK,Fulham,33-067,1992,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0,Matches
20,Joe Lumley,eng ENG,GK,Southampton,30-084,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches
21,Emiliano Martínez,ar ARG,GK,Aston Villa,32-250,1992,34,34,2970,33.0,45,1.36,132,86,66.7,16,9,9,6,17.6,2,1,1,0,50.0,Matches
22,Alex McCarthy,eng ENG,GK,Southampton,35-158,1989,5,5,450,5.0,13,2.60,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches
23,Arijanet Muric,xk KVX,GK,Ipswich Town,26-184,1998,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches
24,Neto,br BRA,GK,Bournemouth,35-295,1989,2,2,180,2.0,2,1.00,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches
25,Robin Olsen,se SWE,GK,Aston Villa,35-122,1990,3,1,180,2.0,4,2.00,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,André Onana,cm CMR,GK,Manchester Utd,29-038,1996,33,33,2970,33.0,43,1.30,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,Matches
27,Stefan Ortega,de GER,GK,Manchester City,32-185,1992,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,Matches
28,Alex Palmer,eng ENG,GK,Ipswich Town,28-273,1996,11,11,990,11.0,27,2.45,63,38,58.7,1,3,7,0,0.0,1,1,0,0,0.0,Matches
29,Jordan Pickford,eng ENG,GK,Everton,31-064,1994,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0,Matches
30,Nick Pope,eng ENG,GK,Newcastle Utd,33-021,1992,25,25,2250,25.0,33,1.32,107,75,70.1,12,6,7,7,28.0,2,1,1,0,50.0,Matches
31,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-209,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches
32,Aaron Ramsdale,eng ENG,GK,Southampton,26-361,1998,27,27,2430,27.0,62,2.30,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6,Matches
33,David Raya,es ESP,GK,Arsenal,29-237,1995,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,Matches
34,José Sá,pt POR,GK,Wolves,32-113,1993,27,27,2430,27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,Matches
