Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-126,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-005,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-085,1999,19.0,7,0,0,41,19,0,3,32,46,0,1,0,100,29,17,63.0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-228,1997,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-129,2002,10.6,0,0,0,11,3,2,35,8,14,0,0,0,41,6,3,66.7,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-327,1997,12.7,2,0,0,5,4,1,1,9,18,0,0,0,66,22,16,57.9,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-224,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-214,1996,30.4,3,0,0,21,34,2,47,31,41,0,1,0,173,13,18,41.9,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-338,2001,31.8,7,1,1,30,39,5,86,24,52,0,0,0,133,20,28,41.7,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-023,1998,15.6,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-295,1995,19.4,3,0,0,16,9,0,11,7,11,0,0,0,89,26,29,47.3,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-081,1995,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-161,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-161,2002,6.4,4,0,0,10,9,1,10,4,5,0,0,0,29,12,6,66.7,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-215,1998,25.5,5,0,0,11,8,1,145,30,49,0,0,0,129,3,13,18.8,Matches
16,Alisson,br BRA,GK,Liverpool,32-220,1992,24.9,0,0,0,0,2,0,0,0,0,0,0,0,42,6,0,100.0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-089,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-198,1997,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-096,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-055,2007,2.8,0,0,0,2,4,1,6,2,2,0,0,0,17,5,5,50.0,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-296,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-112,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-344,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-344,1996,25.7,5,1,0,15,17,0,10,30,17,0,0,1,107,63,36,63.6,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-185,2002,27.4,7,0,0,43,55,4,78,30,52,0,0,0,197,47,23,67.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,André,br BRA,MF,Wolves,23-298,2001,25.0,7,0,0,34,32,0,0,32,48,0,1,0,176,2,6,25.0,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-043,1990,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-075,2000,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-270,2001,4.7,1,0,0,5,1,0,6,6,3,0,0,0,28,2,7,22.2,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-293,2001,15.3,0,0,0,16,12,7,3,2,7,0,0,0,34,8,28,22.2,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,23.1,0,0,0,0,0,0,0,0,2,0,0,1,27,2,0,100.0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-293,1996,21.2,1,0,0,20,28,1,10,20,30,0,1,0,110,25,21,54.3,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-089,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-111,2007,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28.0,3,0,0,2,5,0,0,0,0,0,2,0,52,7,1,87.5,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-109,1996,6.0,1,0,0,8,7,2,23,1,5,0,0,0,22,0,1,0.0,Matches
