Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-126,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-005,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-085,1999,19.0,757,905,83.6,11872,2893,368,415,88.7,329,374,88.0,29,53,54.7,3,1.0,0.6,+2.0,16,57,2,1,65,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-228,1997,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,+0.8,1,53,1,0,37,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-129,2002,10.6,255,335,76.1,3699,710,160,184,87.0,74,100,74.0,15,27,55.6,1,1.8,2.4,-0.8,13,5,12,5,14,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-327,1997,12.7,663,780,85.0,13505,4751,210,229,91.7,358,386,92.7,89,146,61.0,0,0.2,0.3,-0.2,4,26,1,0,22,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-224,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-214,1996,30.4,893,1218,73.3,13813,5721,472,534,88.4,333,452,73.7,55,151,36.4,1,1.1,1.8,-0.1,15,78,20,9,97,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-338,2001,31.8,1309,1560,83.9,18002,5383,803,860,93.4,399,460,86.7,44,108,40.7,7,4.7,3.5,+2.3,36,67,27,9,100,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-023,1998,15.6,489,626,78.1,7626,2762,254,293,86.7,192,241,79.7,26,53,49.1,0,1.2,0.5,-1.2,8,42,7,4,54,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-295,1995,19.4,1427,1520,93.9,23477,6445,682,711,95.9,658,690,95.4,73,97,75.3,0,0.4,1.1,-0.4,9,153,11,2,138,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-081,1995,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-161,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-161,2002,6.4,184,233,79.0,3288,838,76,89,85.4,83,94,88.3,19,31,61.3,2,1.5,0.6,+0.5,11,15,18,3,37,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-215,1998,25.5,1397,1898,73.6,26692,10934,612,681,89.9,572,751,76.2,189,389,48.6,6,6.7,7.0,-0.7,50,198,63,20,221,Matches
16,Alisson,br BRA,GK,Liverpool,32-220,1992,24.9,681,815,83.6,14999,9692,205,207,99.0,360,365,98.6,115,239,48.1,0,0.6,0.2,-0.6,1,11,0,0,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-089,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-198,1997,18.1,763,890,85.7,12894,3657,372,419,88.8,322,359,89.7,61,83,73.5,1,0.8,0.8,+0.2,11,80,11,3,75,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-096,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-055,2007,2.8,121,146,82.9,1430,328,84,90,93.3,30,39,76.9,2,8,25.0,0,0.0,0.1,0.0,1,4,0,0,5,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-296,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-112,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-344,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-344,1996,25.7,1485,1794,82.8,32857,13187,395,433,91.2,839,896,93.6,242,439,55.1,0,0.3,0.5,-0.3,3,176,6,3,105,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-185,2002,27.4,949,1223,77.6,15198,5277,500,561,89.1,347,432,80.3,69,151,45.7,6,3.1,3.3,+2.9,34,105,19,2,128,Matches
