Team,Median of Gls,Mean of Gls,Std of Gls,Median of xG,Mean of xG,Std of xG,Median of Sh,Mean of Sh,Std of Sh,Median of Tkl,Mean of Tkl,Std of Tkl,Median of Int,Mean of Int,Std of Int,Median of Blocks,Mean of Blocks,Std of Blocks
all,1.0,2.0303643724696356,3.548717602392066,0.9,2.0491902834008098,3.1236176418767605,2.0,5.228744939271255,7.387170478005796,17.0,24.89676113360324,22.86328246837779,7.0,11.323886639676113,11.86521482293623,12.0,15.465587044534413,13.862766611805219
West Ham,0.0,1.48,2.6,1.2,1.776,2.254861414810232,4.0,6.28,8.228608630868283,17.0,23.6,20.816659994661325,8.0,12.24,14.774076395272001,14.0,16.64,13.409822270758601
Southampton,0.0,0.8275862068965517,1.0713464664764276,0.5,1.0724137931034483,1.3879317994062084,2.0,5.896551724137931,9.135272408113694,13.0,20.413793103448278,19.729450867347865,5.0,9.620689655172415,12.263225493620721,8.0,13.379310344827585,14.915030274150226
Everton,1.0,1.5,2.132514723892674,1.1,1.7000000000000002,2.018957769788778,3.0,5.863636363636363,9.387405212484259,26.0,30.863636363636363,28.235903275196172,9.5,13.863636363636363,13.046785608670618,13.0,16.363636363636363,14.334591709585574
Manchester City,1.0,2.64,4.414748010928823,1.3,2.5200000000000005,4.175424130153328,1.0,3.28,4.817675788178362,15.0,18.44,17.05891751157343,5.0,8.2,8.582928793055823,11.0,12.44,9.600694419328914
Leicester City,0.0,1.1153846153846154,2.006527808467614,0.4,1.1846153846153844,2.171578652997364,4.0,6.769230769230769,8.199061860031023,21.5,25.846153846153847,22.301017569056903,9.5,11.76923076923077,11.907334520564012,16.5,17.73076923076923,14.001593315927133
Bournemouth,1.0,2.347826086956522,3.5879684762496544,1.1,2.6826086956521737,3.5771563330151,3.0,5.739130434782608,7.2627154407372005,21.0,27.956521739130434,23.433616608449036,10.0,14.391304347826088,15.622650020911603,16.0,18.82608695652174,16.694180188733828
Crystal Palace,0.0,1.9047619047619047,3.4044788427123747,1.1,2.5523809523809526,3.4639022860957045,3.0,6.142857142857143,6.908586789537454,21.0,33.142857142857146,29.93540665213305,11.0,14.238095238095237,14.484145683832244,19.0,21.047619047619047,18.017980437541247
Brighton,1.0,1.9642857142857142,2.999779533345284,0.75,1.910714285714286,2.643558108099664,2.0,4.0,5.450110430413654,16.5,22.642857142857142,19.76194301009877,8.5,10.357142857142858,9.945087325145108,12.0,14.428571428571429,12.257812539518143
Fulham,0.5,2.227272727272727,3.2649920612726087,1.05,2.122727272727273,2.684866196574141,2.0,4.590909090909091,6.299350615882417,23.5,28.272727272727273,23.005551748554332,8.5,12.727272727272727,13.718884510330723,14.0,15.454545454545455,11.206831559056896
Manchester Utd,0.0,1.3333333333333333,2.2641635942681337,0.7,1.603333333333333,2.2676865521607197,1.0,3.2666666666666666,4.7845536910968525,13.0,25.1,27.822528703341753,5.0,11.466666666666667,12.721779677424047,8.0,11.6,11.180648306414263
Ipswich Town,0.0,1.1333333333333333,2.315365962484092,0.6,1.0699999999999998,1.7597315626008965,2.0,5.766666666666667,9.626412420624519,12.5,18.4,16.58125239644107,6.5,9.666666666666666,9.440679889796561,8.0,13.433333333333334,13.957282942121536
Newcastle Utd,0.0,2.782608695652174,5.187016323467755,0.5,2.6347826086956525,4.436994139735529,3.0,5.6521739130434785,7.189693985472753,22.0,24.434782608695652,22.0223565887786,6.0,11.043478260869565,11.845514152353068,17.0,17.130434782608695,14.194443047852747
Liverpool,1.0,3.8095238095238093,6.493219907095766,1.7,3.6761904761904765,5.513973590969107,2.0,4.190476190476191,4.718252299517775,26.0,28.476190476190474,23.932444604801756,7.0,13.095238095238095,15.952757635922266,9.0,15.952380952380953,14.796878692738515
Aston Villa,1.0,1.8928571428571428,3.2924074914790076,0.8,1.9535714285714287,2.9725263158486417,2.5,3.607142857142857,4.314826168888484,10.5,21.392857142857142,20.55226271351898,5.0,8.071428571428571,8.379554356702464,10.0,10.857142857142858,9.151863949852716
Wolves,1.0,2.1739130434782608,3.9387604639143587,0.8,1.7608695652173914,2.4798715381748715,4.0,5.869565217391305,6.047571622531168,21.0,32.08695652173913,28.195604176212647,9.0,12.08695652173913,9.82997754310882,16.0,18.043478260869566,12.607639317888202
Nott'ham Forest,1.0,2.409090909090909,4.159430946760122,1.4,1.9227272727272728,2.6047450872776343,3.5,6.818181818181818,10.064725594803928,20.5,28.727272727272727,25.941659487582843,11.0,13.5,11.342083456881154,11.0,18.272727272727273,18.03219823427452
Tottenham,1.0,2.2222222222222223,3.250246538972477,0.7,2.0999999999999996,2.9091368003373312,5.0,5.2592592592592595,5.230035980112981,14.0,22.85185185185185,20.77665795236365,10.0,10.777777777777779,10.82494744465243,15.0,15.148148148148149,12.249658405609972
Chelsea,1.0,2.269230769230769,3.6502897672123757,0.75,2.5653846153846156,4.209507553877751,1.5,3.730769230769231,5.632460864010986,11.0,20.73076923076923,23.8839824021166,7.5,9.923076923076923,11.471436098145958,9.0,12.653846153846153,13.841798460293539
Brentford,0.0,2.9047619047619047,5.539898572219188,0.8,2.6095238095238096,4.196773136816519,4.0,8.714285714285714,12.942730999069928,25.0,27.523809523809526,22.234250712850766,8.0,12.761904761904763,12.300019357321199,17.0,21.19047619047619,19.307042879786245
Arsenal,2.0,2.8181818181818183,2.805375174576454,1.65,2.563636363636363,2.64098564835275,1.5,4.409090909090909,6.835893301495952,19.5,24.636363636363637,20.726209435778593,6.0,9.636363636363637,8.866982385421583,10.0,13.681818181818182,11.167070484395772
